t_fs,rho10_abs,rho20_abs,rho12_abs,rho22_pop
2.880000000000000000e+02,8.089859632074672957e-01,3.940278774666134964e-01,4.394923185176147773e-01,2.372312651709984344e-01
2.900000000000000000e+02,8.077959798412145398e-01,3.914876882200059582e-01,4.369902869053036709e-01,2.348728627000559455e-01
2.920000000000000000e+02,8.066077468890311408e-01,3.889638748741343632e-01,4.345024993694535653e-01,2.325379059676460081e-01
2.940000000000000000e+02,8.054212617761338233e-01,3.864563318580750417e-01,4.320288748184775152e-01,2.302261618911365937e-01
2.960000000000000000e+02,8.042365219315265046e-01,3.839649542814911332e-01,4.295693326224431785e-01,2.279373997050550826e-01
2.980000000000000000e+02,8.030535247879950767e-01,3.814896379302448182e-01,4.271237926104448634e-01,2.256713909380524408e-01
3.000000000000000000e+02,8.018722677821014111e-01,3.790302792620380834e-01,4.246921750679900631e-01,2.234279093900967683e-01
3.020000000000000000e+02,8.006927483541785850e-01,3.765867754020817415e-01,4.222744007344013673e-01,2.212067311098928346e-01
3.040000000000000000e+02,7.995149639483244419e-01,3.741590241387919291e-01,4.198703908002325846e-01,2.190076343725271268e-01
3.060000000000000000e+02,7.983389120123964844e-01,3.717469239195146935e-01,4.174800669047001866e-01,2.168303996573342218e-01
3.080000000000000000e+02,7.971645899980063232e-01,3.693503738462783348e-01,4.151033511331287396e-01,2.146748096259835648e-01
3.100000000000000000e+02,7.959919953605143483e-01,3.669692736715723935e-01,4.127401660144114359e-01,2.125406491007842957e-01
3.120000000000000000e+02,7.948211255590238444e-01,3.646035237941543938e-01,4.103904345184850033e-01,2.104277050432052931e-01
3.140000000000000000e+02,7.936519780563755511e-01,3.622530252548839536e-01,4.080540800538182689e-01,2.083357665326091845e-01
3.160000000000000000e+02,7.924845503191423335e-01,3.599176797325827071e-01,4.057310264649163223e-01,2.062646247451975223e-01
3.180000000000000000e+02,7.913188398176237426e-01,3.575973895399220948e-01,4.034211980298376132e-01,2.042140729331652638e-01
3.200000000000000000e+02,7.901548440258402417e-01,3.552920576193368540e-01,4.011245194577259809e-01,2.021839064040627243e-01
3.220000000000000000e+02,7.889925604215279886e-01,3.530015875389649893e-01,3.988409158863563397e-01,2.001739225003625056e-01
3.240000000000000000e+02,7.878319864861331734e-01,3.507258834886143317e-01,3.965703128796947419e-01,1.981839205792294833e-01
3.260000000000000000e+02,7.866731197048069113e-01,3.484648502757543564e-01,3.943126364254716520e-01,1.962137019924921066e-01
3.280000000000000000e+02,7.855159575663992477e-01,3.462183933215350340e-01,3.920678129327700434e-01,1.942630700668127042e-01
3.300000000000000000e+02,7.843604975634543841e-01,3.439864186568296622e-01,3.898357692296258170e-01,1.923318300840549389e-01
3.320000000000000000e+02,7.832067371922043497e-01,3.417688329183050100e-01,3.876164325606436534e-01,1.904197892618464116e-01
3.340000000000000000e+02,7.820546739525646718e-01,3.395655433445152194e-01,3.854097305846246324e-01,1.885267567343346107e-01
3.360000000000000000e+02,7.809043053481280472e-01,3.373764577720222424e-01,3.832155913722087859e-01,1.866525435331339300e-01
3.380000000000000000e+02,7.797556288861593465e-01,3.352014846315402585e-01,3.810339434035303063e-01,1.847969625684624251e-01
